outcome,control,treated,window,drop_covid,fe,coef,se,ci_lo,ci_hi,p,n_treated_states,n_control_states,n_obs
lemp_leisure_hosp,broad,all,2021-01 start (long),False,twoway,0.01641234289477067,0.005608240464679774,0.005109676912571628,0.02771500887696971,0.005406671711317035,22,23,3015
lemp_leisure_hosp,broad,all,2021-01 start (long),False,division x month,0.012297751506858998,0.006944539177408047,-0.0016980475707435473,0.026293550584461544,0.08351259101125996,22,23,3015
lemp_leisure_hosp,broad,all,2021-01 start (long),True,twoway,0.006787150850056003,0.004520691289393179,-0.002323703788657378,0.015898005488769382,0.14040729762356308,22,23,2745
lemp_leisure_hosp,broad,all,2021-01 start (long),True,division x month,0.006888244975579898,0.006171165044200266,-0.005548920951042133,0.01932541090220193,0.27039595463980093,22,23,2745
lemp_leisure_hosp,broad,legislated,2022-07 start (baseline),False,twoway,0.007525918174105283,0.004664807141782557,-0.0020008889655145383,0.017052725313725103,0.11714202895558046,8,23,1519
lemp_leisure_hosp,broad,legislated,2022-07 start (baseline),False,division x month,0.007413735910505637,0.0070082555696158,-0.006919756120114215,0.02174722794112549,0.2988529884694502,8,23,1519
lemp_leisure_hosp,broad,legislated,2021-01 start (long),False,twoway,0.027351799821910952,0.006927029915566304,0.013204917421375199,0.04149868222244671,0.0004397437438212748,8,23,2077
lemp_leisure_hosp,broad,legislated,2021-01 start (long),False,division x month,0.017341687611292768,0.008342455299544756,0.00027945074449676685,0.034403924478088765,0.04659579000835046,8,23,2077
lemp_leisure_hosp,broad,legislated,2021-01 start (long),True,twoway,0.014903829825996091,0.0050801690059488,0.0045287405917916156,0.025278919060200567,0.0063630721593759265,8,23,1891
lemp_leisure_hosp,broad,legislated,2021-01 start (long),True,division x month,0.01084242615656652,0.007867162748898036,-0.00524772829696195,0.026932580610094993,0.1786866761145871,8,23,1891
lemp_leisure_hosp,broad,indexed,2022-07 start (baseline),False,twoway,-0.00013650491976809363,0.004007526108410946,-0.008264144579008864,0.007991134739472676,0.973015762324853,14,23,1813
lemp_leisure_hosp,broad,indexed,2022-07 start (baseline),False,division x month,0.0027144836305295892,0.006553774261535229,-0.01059038545777612,0.016019352718835297,0.6812650889221448,14,23,1813
lemp_leisure_hosp,broad,indexed,2021-01 start (long),False,twoway,0.010161224650690515,0.005811470968483789,-0.0016249847573635064,0.02194743405874454,0.08890533578946869,14,23,2479
lemp_leisure_hosp,broad,indexed,2021-01 start (long),False,division x month,0.009306113614005285,0.00902152009413799,-0.009008545853974034,0.027620773081984604,0.30936062971296296,14,23,2479
lemp_leisure_hosp,broad,indexed,2021-01 start (long),True,twoway,0.0021490485780902287,0.0047886880727826,-0.007562860974886799,0.011860958131067257,0.6562830615948865,14,23,2257
lemp_leisure_hosp,broad,indexed,2021-01 start (long),True,division x month,0.004561156152828266,0.007879495989943417,-0.011435071126972654,0.020557383432629188,0.5663879324999392,14,23,2257
lemp_leisure_hosp,border,all,2022-07 start (baseline),False,twoway,0.004375093811477667,0.00379412618662121,-0.0032992507756747546,0.01204943839863009,0.25587855227342704,22,18,1960
lemp_leisure_hosp,border,all,2022-07 start (baseline),False,division x month,0.00599267886749306,0.005020030415254337,-0.004161291071750258,0.01614664880673638,0.23978533916611666,22,18,1960
lemp_leisure_hosp,border,all,2021-01 start (long),False,twoway,0.016890167819337266,0.006110667072415006,0.004530177016595818,0.029250158622078713,0.008670814224664758,22,18,2680
lemp_leisure_hosp,border,all,2021-01 start (long),False,division x month,0.012819416067616603,0.007179047566981106,-0.0017015782606280803,0.027340410395861287,0.08193049006999886,22,18,2680
